Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,0.936384,1.004464,0.848214,0.888393,0.758538,3055203200
2000-01-08,0.910714,0.912946,0.772321,0.896763,0.765685,3345742400
2000-01-15,0.901786,1.084821,0.896763,0.993862,0.848591,3383878400
2000-01-22,0.968192,1.019531,0.898438,0.907366,0.774738,2068673600
2000-01-29,0.901786,0.982143,0.843750,0.964286,0.823338,2384424000
2000-02-05,0.964286,1.045759,0.945871,0.970982,0.829055,1664308800
2000-02-12,0.976004,1.070871,0.969866,0.993304,0.848115,1754468800
2000-02-19,0.983259,1.063616,0.952567,0.985491,0.841444,1520971200
2000-02-26,0.983259,1.179129,0.967634,1.142857,0.975808,2408918400
2000-03-04,1.125000,1.152902,1.055804,1.122768,0.958655,1280126400
2000-03-11,1.090402,1.129464,1.017857,1.116071,0.952937,1859289600
2000-03-18,1.102679,1.342634,1.085938,1.238281,1.057284,2306292800
2000-03-25,1.228795,1.292411,1.119978,1.212612,1.035367,1541019200
2000-04-01,1.209821,1.245536,1.042411,1.176339,1.004396,1948620800
2000-04-08,1.175781,1.185268,0.936384,0.998884,0.852879,2892668800
2000-04-15,0.977679,1.162946,0.973772,1.061384,0.906244,2042756800
2000-04-22,1.026786,1.149554,1.024554,1.107701,0.945790,1778358400
2000-04-29,1.114955,1.127232,0.987165,1.010045,0.862409,1636017600
2000-05-06,1.000837,1.015067,0.881696,0.960938,0.820480,1853790400
2000-05-13,0.964844,0.973772,0.833705,0.839286,0.716609,2631921600
2000-05-20,0.837054,0.837054,0.741071,0.771205,0.658479,2539454400
2000-05-27,0.782366,0.890625,0.717634,0.826451,0.705650,2843254400
2000-06-03,0.833147,0.879464,0.800781,0.854911,0.729950,1677054400
2000-06-10,0.860491,0.861049,0.787388,0.814174,0.695168,1471377600
2000-06-17,0.808594,1.029018,0.801897,0.922991,0.788079,2058072800
2000-06-24,0.937500,0.991071,0.911830,0.935268,0.798562,1202012000
2000-07-01,0.930804,0.985491,0.886161,0.972098,0.830008,909193600
2000-07-08,0.965960,1.082589,0.959821,1.030134,0.879561,1617061600
2000-07-15,1.040179,1.051339,0.924107,0.956473,0.816667,1698088000
2000-07-22,0.938616,0.950893,0.837054,0.862723,0.736621,1367128000
2000-07-29,0.877790,0.921875,0.790179,0.845982,0.722327,1057957600
2000-08-05,0.854911,0.876116,0.813616,0.851563,0.727092,1233433600
2000-08-12,0.849888,0.936384,0.827009,0.892857,0.762350,875610400
2000-08-19,0.897321,1.026786,0.886161,1.014509,0.866220,1293359200
2000-08-26,1.022321,1.136161,1.018973,1.132813,0.967232,1587896800
2000-09-02,1.118862,1.145089,1.031250,1.051339,0.897667,1067029600
2000-09-09,1.047991,1.078125,0.968750,0.986328,0.842158,1502429600
2000-09-16,0.986607,1.097098,0.892857,0.931920,0.795703,2160625600
2000-09-23,0.941964,0.991071,0.453125,0.459821,0.392610,9529973600
2000-09-30,0.476563,0.477679,0.375000,0.396205,0.338293,7414596000
2000-10-07,0.404018,0.408482,0.341518,0.393973,0.336387,4925905600
2000-10-14,0.398438,0.415179,0.327009,0.348214,0.297316,4554149600
2000-10-21,0.361886,0.372768,0.312500,0.331473,0.283022,3486067200
2000-10-28,0.341518,0.410714,0.334821,0.397321,0.339245,3206952000
2000-11-04,0.400670,0.404018,0.340402,0.340402,0.290646,2016616000
2000-11-11,0.334821,0.366071,0.325893,0.330357,0.282069,1808727200
2000-11-18,0.332031,0.348214,0.325893,0.344866,0.294458,1151483200
2000-11-25,0.354911,0.356027,0.287946,0.304688,0.260152,2215371200
2000-12-02,0.306920,0.311384,0.250000,0.268973,0.229658,3204504800
2000-12-09,0.271205,0.285714,0.250000,0.251116,0.214411,1840921600
2000-12-16,0.260045,0.272321,0.243304,0.267857,0.228705,1950043200
2000-12-23,0.265625,0.267857,0.253348,0.265625,0.226799,1477795200
2000-12-30,0.265625,0.330357,0.257813,0.292411,0.249670,2421137600
2001-01-06,0.302455,0.330357,0.284598,0.306920,0.262058,2770521600
2001-01-13,0.311384,0.349330,0.294643,0.348214,0.297316,3150666400
2001-01-20,0.340402,0.373884,0.329241,0.349330,0.298269,3088478400
2001-01-27,0.349330,0.401786,0.349330,0.368304,0.314470,3075693600
2001-02-03,0.366071,0.381975,0.333705,0.341518,0.291599,2336924800
2001-02-10,0.340402,0.367188,0.330357,0.339286,0.289693,1395637600
2001-02-17,0.342634,0.356027,0.321429,0.335938,0.286835,1430979200
2001-02-24,0.340402,0.364955,0.306920,0.343750,0.293505,1799851200
2001-03-03,0.345982,0.393973,0.343750,0.361607,0.308752,1979510400
2001-03-10,0.351563,0.381696,0.323661,0.350446,0.299222,2311758400
2001-03-17,0.352679,0.420759,0.345982,0.410714,0.350681,2894780000
2001-03-24,0.413036,0.424107,0.377321,0.394107,0.336501,2876350400
2001-03-31,0.394464,0.404643,0.334821,0.367679,0.313936,2166735200
2001-04-07,0.369464,0.411071,0.358214,0.400357,0.341838,1356986400
2001-04-14,0.394464,0.459821,0.350000,0.447143,0.381785,4638340000
2001-04-21,0.434643,0.469464,0.419821,0.467857,0.399471,2502152800
2001-04-28,0.476786,0.484286,0.427857,0.459821,0.392610,1873149600
2001-05-05,0.457500,0.460000,0.406429,0.408036,0.348394,1408898400
2001-05-12,0.408750,0.455357,0.406250,0.420179,0.358762,1359747200
2001-05-19,0.421964,0.430893,0.401786,0.406429,0.347022,1585455200
2001-05-26,0.398571,0.401786,0.344643,0.373036,0.318510,2192036000
2001-06-02,0.376429,0.387500,0.363036,0.380714,0.325066,1644697600
2001-06-09,0.375893,0.388036,0.345536,0.365000,0.311649,1861255200
2001-06-16,0.364464,0.410714,0.356786,0.397500,0.339398,1725976000
2001-06-23,0.401786,0.448214,0.400893,0.415179,0.354493,1950261600
2001-06-30,0.422143,0.432679,0.387857,0.393393,0.335891,797804000
2001-07-07,0.394464,0.446607,0.372143,0.443750,0.378888,2272788000
2001-07-14,0.444286,0.450357,0.348036,0.356786,0.304635,3369234400
2001-07-21,0.358750,0.366071,0.318750,0.338571,0.289083,1736890400
2001-07-28,0.341429,0.355357,0.330536,0.348214,0.297316,1220665600
2001-08-04,0.340000,0.351786,0.331071,0.339643,0.289998,931996800
2001-08-11,0.341071,0.345714,0.320893,0.322679,0.275514,1162744800
2001-08-18,0.323929,0.332500,0.313929,0.331607,0.283137,1119389600
2001-08-25,0.332143,0.344643,0.308571,0.331250,0.282832,1172948000
2001-09-01,0.330357,0.340714,0.307143,0.308571,0.263468,1232470400
2001-09-08,0.303571,0.312500,0.302143,0.310179,0.264841,308845600
2001-09-15,0.285714,0.316429,0.262143,0.280893,0.239835,2140118400
2001-09-22,0.287679,0.300714,0.266607,0.276964,0.236481,1850088800
2001-09-29,0.276607,0.290179,0.264821,0.288214,0.246086,1870943200
2001-10-06,0.278036,0.322857,0.276786,0.321607,0.274598,1311744000
2001-10-13,0.320536,0.328750,0.302857,0.326786,0.279020,1586603200
2001-10-20,0.325179,0.346786,0.316964,0.333393,0.284662,1985261600
2001-10-27,0.331607,0.336786,0.304643,0.331607,0.283137,1299894400
2001-11-03,0.336429,0.359464,0.330893,0.334107,0.285271,1411239200
2001-11-10,0.333214,0.355357,0.320714,0.338750,0.289236,1091014400
2001-11-17,0.339286,0.360714,0.338571,0.354286,0.302501,870760800
2001-11-24,0.356071,0.384821,0.355000,0.380357,0.324761,1486531200
2001-12-01,0.376071,0.429107,0.367857,0.402500,0.343667,1672613600
2001-12-08,0.398036,0.410536,0.358750,0.364107,0.310886,955673600
2001-12-15,0.364286,0.387143,0.360536,0.375000,0.320187,1176106400
2001-12-22,0.373214,0.410714,0.373214,0.400536,0.341990,687663200
2001-12-29,0.401964,0.427679,0.389821,0.423036,0.361202,1689262400
2002-01-05,0.423571,0.428571,0.361607,0.375893,0.320949,2023996800
2002-01-12,0.375179,0.406071,0.366071,0.395893,0.338026,2272597600
2002-01-19,0.397679,0.419821,0.385536,0.415179,0.354493,1300510400
2002-01-26,0.417857,0.445714,0.405714,0.435893,0.372179,1765097600
2002-02-02,0.434286,0.463929,0.417321,0.429107,0.366385,2280000800
2002-02-09,0.427321,0.450714,0.423929,0.426786,0.364404,1456112000
2002-02-16,0.424286,0.426250,0.383036,0.406071,0.346716,1528928800
2002-02-23,0.408036,0.441429,0.373929,0.418750,0.357542,2523068800
2002-03-02,0.415357,0.448036,0.406429,0.440357,0.375991,1377191200
2002-03-09,0.439286,0.448929,0.426250,0.445536,0.380413,1175804000
2002-03-16,0.445536,0.451786,0.415357,0.430179,0.367301,1659767200
2002-03-23,0.429821,0.430179,0.410714,0.422679,0.360897,756828800
2002-03-30,0.417500,0.449821,0.415714,0.441786,0.377211,1234217600
2002-04-06,0.431429,0.450000,0.424643,0.447500,0.382090,1405521600
2002-04-13,0.447500,0.467321,0.442857,0.446071,0.380870,2087316000
2002-04-20,0.443571,0.445179,0.410714,0.410893,0.350834,1142528800
